Chemical.Name,DTXSID,CAS,Set,Fup,Mol_Structure,Opera_LogP,padel_CrippenLogP,padel_nBase,Opera_LogWS,padel_XLogP,Opera_LogBCF,padel_AATS1v,padel_AATS0i,padel_ETA_EtaP_F,padel_ZMIC2,padel_maxHBa,padel_minsssN,padel_AATS1i,padel_ETA_dEpsilon_B,padel_GATS1i,padel_ZMIC1,padel_SsssN,padel_nAromBond,padel_AATSC0p,padel_minHBd,padel_LipoaffinityIndex,padel_AATS3v,padel_AATS2i,padel_C2SP2,padel_AATS4v,padel_Kier2,padel_AATS6m,Opera_LogKM,padel_AATS6v,padel_minssCH2,Fup.RF.pred,AD_out
(-)-propranolol,DTXSID90873366,4199-09-1,ToxCast,0.1500,CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,0.418511589,0.065161915,0.757361254,0.456563358,0.372249285,0.172080589,-0.591210688,-0.182840358,-0.408838166,-0.447074786,-0.21474429,-0.712382893,-0.239850591,-0.226296366,-0.149207807,-0.286389506,-0.593899024,0.492235587,-0.327208055,-0.156573716,0.438356502,-0.897335692,-0.157592025,0.380606611,-0.731126165,-0.037990406,-0.395664871,-0.087843811,-0.324251227,0.091664858,0.165898824,0
"(2s,3s)-n-[2-methoxy-5-(trifluoromethoxy)benzyl]-2-phenylpiperidin-3-amine",DTXSID9047251,145742-28-5,ToxCast,0.0800,COC1=C(CNC2CCCNC2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1,0.754786097,0.767941721,2.005286047,-1.309221154,0.961453126,0.836977415,-0.239843866,0.705543378,0.342858909,0.117763209,0.551787472,-0.712382893,0.382039261,0.191790165,-0.764144988,0.473134944,-0.593899024,0.66127965,-0.291490809,-0.402884673,1.521343254,-0.483351806,0.738506433,0.834206272,-0.226848097,0.606940531,-0.229039903,-1.013182649,-0.078899109,0.270542013,0.065607081,0
(r)-carvedilol,DTXSID90241748,95093-99-5,ToxCast,0.0045,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.78031085,0.820613258,0.757361254,-0.282629078,0.376146136,-0.219250668,-0.0781673,-0.34462172,0.604976417,0.429026343,-0.086037878,-0.712382893,-0.198308926,0.325183385,-0.22048088,1.014445683,-0.593899024,2.18267622,-0.330975586,0.030244891,1.098223659,-0.270496017,-0.250480482,2.195005252,0.074863933,1.022977891,-0.280458066,0.095990318,-0.050335909,-0.105398996,0.01190592,0
(s)-carvedilol,DTXSID50241749,95094-00-1,ToxCast,0.0063,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.78031085,0.820613258,0.757361254,-0.282629078,0.376146136,-0.219250668,-0.0781673,-0.34462172,0.604976417,0.429026343,-0.086037878,-0.712382893,-0.198308926,0.325183385,-0.22048088,1.014445683,-0.593899024,2.18267622,-0.330975586,0.030244891,1.098223659,-0.270496017,-0.250480482,2.195005252,0.074863933,1.022977891,-0.280458066,0.095990318,-0.050335909,-0.105398996,0.01190592,0
"1-(hydroxymethyl)-5,5-dimethylhydantoin",DTXSID6035152,116-25-6,ToxCast,0.9212,CC1(C)N(CO)C(=O)NC1=O,-1.173480661,-1.943727079,-0.490563539,2.335101787,-1.306124354,-1.05181391,-1.226727857,0.827822285,-0.684002432,-1.092621414,0.117026788,0.484784981,1.67038042,-1.463427647,2.386936759,-1.26339112,0.099216144,-1.36724911,-0.681450906,1.244228534,-1.314089251,-0.314217196,1.343306697,-1.433792029,-1.384194058,-1.320129475,-0.998468906,-1.295648847,-2.461358191,-1.491682462,0.882986053,0
"1,1,1-tris(p-hydroxyphenyl)ethane",DTXSID2037712,27955-94-8,ToxCast,0.0141,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0.367591929,0.534571722,-0.490563539,0.015809703,1.063940302,0.754847617,0.584410692,-0.863143852,0.976931313,1.647342595,-0.29393593,-0.712382893,-1.027601704,0.75728399,-1.547311256,1.038888239,-0.593899024,1.67554403,-0.246606876,0.971851671,0.620626621,0.712460583,-1.475463745,1.968205422,0.589941595,-0.092802078,-0.217086573,0.187805747,0.30208134,-0.549463598,0.01577264,0
"1,2,3,4,5,6-hexachlorocyclohexane",DTXSID7020687,608-73-1,ToxCast,0.0174,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.561703397,0.335055868,-0.490563539,-1.056495815,0.286908253,2.204004519,2.334240394,-0.466350843,-2.799289499,3.317005454,-2.670862478,-0.712382893,-1.012930585,-1.463427647,0.257962977,1.769837306,-0.593899024,-1.36724911,0.944736204,-1.209042569,0.053160249,1.453720109,-0.589535598,-1.433792029,1.291525535,-1.164911691,-1.048401324,2.881472993,-3.252034614,-0.549463598,0.017783865,0
"1,2,3-benzotriazole",DTXSID6020147,95-14-7,ToxCast,0.2873,N1N=NC2=C1C=CC=C2,-0.678326608,-0.982309431,-0.490563539,1.376328055,-0.444530642,-0.735699187,0.496481371,0.207069961,-0.49478368,-1.222297079,-2.264456646,-0.712382893,1.505227512,1.772266251,-1.862391497,-1.241755259,-0.593899024,0.323191523,-0.597186231,1.318789279,-0.77616604,-0.290793199,-0.189967215,-0.072993049,-0.946209374,-1.446768841,-1.030936348,-0.989488351,-2.595767676,-0.549463598,0.31853982,0
"1,2,3-trichlorobenzene",DTXSID8026193,87-61-6,ToxCast,0.0157,ClC1=CC=CC(Cl)=C1Cl,0.758477183,0.336200072,-0.490563539,-0.397543859,-0.005355557,1.927793014,3.124653375,-1.447389234,-0.659458219,0.689555346,-2.748218502,-0.712382893,-1.763602275,2.614667791,-1.284691501,-0.01724776,-0.593899024,-0.35298473,0.210831682,-1.209042569,-0.471484424,2.395816839,-1.61137883,-0.072993049,1.377088574,-1.341237527,-1.048401324,2.324993092,-3.252034614,-0.549463598,0.008408824,0
"1,2,4,5-tetrachlorobenzene",DTXSID7024320,95-94-3,ToxCast,0.0010,ClC1=CC(Cl)=C(Cl)C=C1Cl,1.063514467,0.647709688,-0.490563539,-0.945165718,0.032054211,2.491133301,4.140106402,-1.612639323,-0.541221982,1.6001704,-2.749048847,-0.712382893,-1.880654949,3.397379757,-1.28394065,0.536912715,-0.593899024,-0.35298473,-0.157207204,-1.209042569,-0.431840004,3.522399377,-1.709044481,-0.072993049,3.060819269,-1.284487085,-1.048401324,2.911383048,-3.252034614,-0.549463598,0.00178752,0
